Config: quantum_fpn_random_split
Model: quantum_fpn_unet | Mode: 4 (swir)
Output: experiments/quantum_fpn_random_split_0428_0319
Train: 432 batches | Val: 369 | Test: 93

--- Epoch 1/5 ---
  Iter 110/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.60s
  Iter 120/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.74s
  Iter 130/432 | Loss: nan | OA: 0.9679 | mIoU: 0.4839 | Time: 5.57s
  Iter 140/432 | Loss: nan | OA: 0.8467 | mIoU: 0.4234 | Time: 5.56s
  Iter 150/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.71s
  Iter 160/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.61s
  Iter 170/432 | Loss: nan | OA: 0.8457 | mIoU: 0.4229 | Time: 5.56s
  Iter 180/432 | Loss: nan | OA: 0.9850 | mIoU: 0.4925 | Time: 5.72s
  Iter 190/432 | Loss: nan | OA: 0.7093 | mIoU: 0.3546 | Time: 5.60s
  Iter 200/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.60s
  Iter 210/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.71s
  Iter 220/432 | Loss: nan | OA: 0.7456 | mIoU: 0.3728 | Time: 5.61s
  Iter 230/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.59s
  Iter 240/432 | Loss: nan | OA: 0.9420 | mIoU: 0.4710 | Time: 5.74s
  Iter 250/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 6.33s
  Iter 260/432 | Loss: nan | OA: 0.9610 | mIoU: 0.4805 | Time: 5.58s
  Iter 270/432 | Loss: nan | OA: 0.9663 | mIoU: 0.4832 | Time: 5.71s
  Iter 280/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.59s
  Iter 290/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.62s
  Iter 300/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.70s
  Iter 310/432 | Loss: nan | OA: 0.9852 | mIoU: 0.4926 | Time: 5.56s
  Iter 320/432 | Loss: nan | OA: 0.9499 | mIoU: 0.4749 | Time: 5.57s
  Iter 330/432 | Loss: nan | OA: 0.9943 | mIoU: 0.4971 | Time: 5.71s
  Iter 340/432 | Loss: nan | OA: 0.8952 | mIoU: 0.4476 | Time: 5.57s
  Iter 350/432 | Loss: nan | OA: 0.9887 | mIoU: 0.4943 | Time: 5.61s
  Iter 360/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.68s
  Iter 370/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.56s
  Iter 380/432 | Loss: nan | OA: 0.9963 | mIoU: 0.4981 | Time: 5.57s
  Iter 390/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.70s
  Iter 400/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.59s
  Iter 410/432 | Loss: nan | OA: 0.9843 | mIoU: 0.4921 | Time: 5.63s
  Iter 420/432 | Loss: nan | OA: 1.0000 | mIoU: 0.5000 | Time: 5.71s
  Iter 430/432 | Loss: nan | OA: 0.9540 | mIoU: 0.4770 | Time: 5.58s
Validating...
  Val OA: 96.17% | Fire F1: 0.00% | Fire IoU: 0.00% | mIoU: 48.08%

Testing...
  Test OA: 95.74% | Fire P: 0.00% | Fire R: 0.00% | Fire F1: 0.00% | Fire IoU: 0.00% | mIoU: 47.87%

Done. Results saved to experiments/quantum_fpn_random_split_0428_0319
